city,province,dialect_area,longitude,latitude,population_10k,youth_usage_rate,data_source,record_status
北京,北京,北京官话,116.4074,39.9042,2154,0.02,估算,已确认
天津,天津,冀鲁官话,117.2008,39.0842,1387,0.05,估算,已确认
哈尔滨,黑龙江,东北官话,126.6425,45.8038,1076,0.11,青岛话调研,已确认
沈阳,辽宁,东北官话,123.4328,41.8047,831,0.08,估算,已确认
长春,吉林,东北官话,125.3245,43.8868,753,0.09,估算,已确认
济南,山东,冀鲁官话,117.0009,36.6757,890,0.05,估算,已确认
青岛,山东,胶辽官话,120.3333,36.0671,949,0.007,青岛话调研,已确认
郑州,河南,中原官话,113.6243,34.7466,1035,0.08,估算,已确认
西安,陕西,中原官话,108.948,34.2619,1020,0.08,估算,已确认
兰州,甘肃,兰银官话,103.8235,36.0611,436,0.15,估算,已确认
银川,宁夏,兰银官话,106.2324,38.4749,286,0.12,估算,已确认
南京,江苏,江淮官话,118.7969,32.0603,931,0.08,估算,已确认
合肥,安徽,江淮官话,117.2272,31.8656,937,0.12,估算,已确认
武汉,湖北,西南官话,114.3055,30.5928,1108,0.15,估算,已确认
成都,四川,西南官话,104.0668,30.5728,1658,0.12,估算,已确认
重庆,重庆,西南官话,106.5516,29.563,3213,0.18,估算,已确认
贵阳,贵州,西南官话,106.7131,26.5804,462,0.25,估算,已确认
昆明,云南,西南官话,102.7122,25.0389,685,0.3,估算,已确认
南宁,广西,西南官话,108.32,22.824,756,0.15,估算,已确认
呼和浩特,内蒙古,兰银官话,111.6708,40.8175,344,0.1,估算,已确认
太原,山西,晋语并州片,112.5429,37.8705,452,0.15,估算,已确认
大同,山西,晋语大包片,113.3046,40.1424,310,0.12,估算,已确认
长治,山西,晋语上党片,113.1098,36.1841,342,0.18,估算,已确认
上海,上海,吴语太湖片,121.4737,31.2304,2428,0.224,光明日报2024,已确认
苏州,江苏,吴语太湖片,120.6204,31.328,1075,0.022,光明日报2024,已确认
杭州,浙江,吴语太湖片,120.1942,30.2741,1036,0.092,光明日报2024,已确认
宁波,浙江,吴语明州片,121.5558,29.8739,854,0.046,光明日报2024,已确认
温州,浙江,吴语瓯江片,120.6519,28.0142,957,0.073,光明日报2024,已确认
绍兴,浙江,吴语绍兴片,120.5879,30.0078,527,0.12,估算,已确认
无锡,江苏,吴语太湖片,120.3015,31.5977,746,0.05,估算,已确认
常州,江苏,吴语太湖片,119.9596,31.7728,528,0.06,估算,已确认
金华,浙江,吴语婺州片,119.6453,29.1054,556,0.1,估算,已确认
长沙,湖南,湘语长益片,112.9388,28.2281,815,0.15,估算,已确认
湘潭,湖南,湘语长益片,112.9215,27.8312,286,0.18,估算,已确认
衡阳,湖南,湘语衡州片,112.6069,26.8836,739,0.12,估算,已确认
邵阳,湖南,湘语娄邵片,111.4687,27.2366,338,0.2,估算,已确认
南昌,江西,赣语昌都片,115.8921,28.6898,555,0.318,光明日报2024,已确认
九江,江西,赣语昌都片,115.9728,29.4722,490,0.25,估算,已确认
赣州,江西,赣语赣南片,114.9289,25.8221,897,0.2,估算,已确认
抚州,江西,赣语抚广片,116.3328,28.2281,396,0.22,估算,已确认
梅州,广东,客家话粤台片,116.1134,24.2945,43,0.161,闽西客家话调研,已确认
惠州,广东,客家话粤台片,114.4292,23.1052,483,0.25,估算,已确认
赣州客家,江西,客家话赣南片,114.9289,25.8221,897,0.22,估算,已确认
龙岩,福建,客家话闽西片,117.0179,25.1201,272,0.18,估算,已确认
韶关,广东,客家话粤北片,113.6199,24.8013,363,0.2,估算,已确认
广州,广东,粤语广府片,113.2644,23.1291,1490,0.52,佛山西樵话调研,已确认
佛山,广东,粤语广府片,113.106,23.0279,955,0.48,估算,已确认
东莞,广东,粤语广府片,113.7573,23.02,1047,0.45,估算,已确认
中山,广东,粤语广府片,113.3892,22.5213,342,0.42,估算,已确认
珠海,广东,粤语广府片,113.5491,22.2769,244,0.4,估算,已确认
深圳,广东,粤语广府片,114.0579,22.5431,1756,0.35,估算,已确认
南宁粤,广西,粤语邕浔片,108.32,22.824,756,0.3,估算,已确认
梧州,广西,粤语广府片,111.3148,23.4838,352,0.35,估算,已确认
福州,福建,闽语闽东片,119.3062,26.0753,780,0.05,估算,已确认
厦门,福建,闽语闽南片,118.0819,24.4798,429,0.193,光明日报2024,已确认
泉州,福建,闽语闽南片,118.5878,24.8947,870,0.22,估算,已确认
漳州,福建,闽语闽南片,117.6167,24.6074,510,0.25,估算,已确认
莆田,福建,闽语莆仙片,119.0075,25.4423,290,0.18,估算,已确认
宁德,福建,闽语闽东片,119.5299,26.6535,395,0.08,宁德话调研,已确认
汕头,广东,闽语闽南片,116.6992,23.3406,561,0.15,估算,已确认
潮州,广东,闽语闽南片,116.6381,23.6631,275,0.18,估算,已确认
揭阳,广东,闽语闽南片,116.3577,23.5563,212,0.2,估算,已确认
海口,海南,闽语琼文片,110.3312,20.0297,230,0.12,估算,已确认
黄山,安徽,徽语绩歙片,118.1881,30.1443,148,0.1,估算,已确认
屯溪,安徽,徽语绩歙片,118.3131,29.7298,28,0.08,估算,已确认
绩溪,安徽,徽语绩歙片,118.5131,30.0876,18,0.06,估算,已确认
南宁平,广西,平话南宁片,108.32,22.824,756,0.15,估算,已确认
柳州,广西,平话柳州片,109.3994,24.3139,416,0.18,估算,已确认
桂林,广西,平话桂林片,110.2993,25.2741,534,0.2,估算,已确认
