dialect_area,total_population,city_count,avg_youth_rate,main_distribution
东北官话,2660,3,0.09333333333333334,东北三省
中原官话,2055,2,0.08,河南、陕西
兰银官话,1066,3,0.12333333333333334,甘肃、宁夏
冀鲁官话,2277,2,0.05,河北、山东
北京官话,2154,1,0.02,北京
吴语太湖片,5813,5,0.0896,江苏南部、上海、浙江北部
吴语婺州片,556,1,0.1,浙江金华
吴语明州片,854,1,0.046,浙江宁波
吴语瓯江片,957,1,0.073,浙江温州
吴语绍兴片,527,1,0.12,浙江绍兴
客家话粤北片,363,1,0.2,广东北部
客家话粤台片,526,2,0.20550000000000002,广东梅州、惠州
客家话赣南片,897,1,0.22,江西南部
客家话闽西片,272,1,0.18,福建西部
平话南宁片,756,1,0.15,广西南宁
平话柳州片,416,1,0.18,广西柳州
平话桂林片,534,1,0.2,广西桂林
徽语绩歙片,194,3,0.08,安徽南部
晋语上党片,342,1,0.18,山西东南部
晋语大包片,310,1,0.12,山西北部
晋语并州片,452,1,0.15,山西中部
江淮官话,1868,2,0.1,江苏、安徽
湘语娄邵片,338,1,0.2,湖南娄底、邵阳
湘语衡州片,739,1,0.12,湖南衡阳
湘语长益片,1101,2,0.16499999999999998,湖南长沙、益阳
粤语广府片,6186,7,0.42428571428571427,广东珠三角
粤语邕浔片,756,1,0.3,广西南宁
胶辽官话,949,1,0.007,山东半岛、辽东半岛
西南官话,7882,6,0.19166666666666665,四川、重庆、云南、贵州
赣语抚广片,396,1,0.22,江西抚州
赣语昌都片,1045,2,0.28400000000000003,江西南昌
赣语赣南片,897,1,0.2,江西南部
闽语琼文片,230,1,0.12,海南
闽语莆仙片,290,1,0.18,福建莆田
闽语闽东片,1175,2,0.065,福建东部
闽语闽南片,2857,6,0.19883333333333333,福建南部、广东潮汕
