城市,方言区,初始使用率,50年后使用率,使用率变化,风险等级
北京,北京官话,0.02,0.026315611674969524,0.0063156116749695235,高危
天津,冀鲁官话,0.05,0.03135709756526265,-0.018642902434737353,高危
哈尔滨,东北官话,0.11,0.03389800269173046,-0.07610199730826954,高危
沈阳,东北官话,0.08,0.025441329139499397,-0.054558670860500605,高危
长春,东北官话,0.09,0.02574888366264516,-0.06425111633735484,高危
济南,冀鲁官话,0.05,0.022010706467820416,-0.027989293532179587,高危
青岛,胶辽官话,0.007,0.018523534320654594,0.011523534320654595,高危
郑州,中原官话,0.08,0.023535108841987725,-0.05646489115801227,高危
西安,中原官话,0.08,0.03196483933168077,-0.048035160668319234,高危
兰州,兰银官话,0.15,0.029951675284289398,-0.1200483247157106,高危
银川,兰银官话,0.12,0.03247562481242399,-0.087524375187576,高危
南京,江淮官话,0.08,0.028614648233798,-0.051385351766202,高危
合肥,江淮官话,0.12,0.043700361610454014,-0.07629963838954598,高危
武汉,西南官话,0.15,0.054625452013067524,-0.09537454798693247,高危
成都,西南官话,0.12,0.043700361610454014,-0.07629963838954598,高危
重庆,西南官话,0.18,0.06555054241568099,-0.114449457584319,高危
贵阳,西南官话,0.25,0.09104242002177917,-0.15895757997822083,高危
昆明,西南官话,0.3,0.10925090402613505,-0.19074909597386494,高危
南宁,西南官话,0.15,0.054625452013067524,-0.09537454798693247,高危
呼和浩特,兰银官话,0.1,0.03641696800871167,-0.06358303199128834,高危
太原,晋语并州片,0.15,0.054625452013067524,-0.09537454798693247,高危
大同,晋语大包片,0.12,0.043700361610454014,-0.07629963838954598,高危
长治,晋语上党片,0.18,0.06555054241568099,-0.114449457584319,高危
上海,吴语太湖片,0.224,0.08157400833951413,-0.14242599166048586,高危
苏州,吴语太湖片,0.022,0.008011732961916575,-0.013988267038083424,高危
杭州,吴语太湖片,0.092,0.03350361056801473,-0.05849638943198527,高危
宁波,吴语明州片,0.046,0.016751805284007364,-0.029248194715992635,高危
温州,吴语瓯江片,0.073,0.026584386646359523,-0.04641561335364047,高危
绍兴,吴语绍兴片,0.12,0.043700361610454014,-0.07629963838954598,高危
无锡,吴语太湖片,0.05,0.018208484004355836,-0.03179151599564417,高危
常州,吴语太湖片,0.06,0.021850180805227007,-0.03814981919477299,高危
金华,吴语婺州片,0.1,0.03641696800871167,-0.06358303199128834,高危
长沙,湘语长益片,0.15,0.054625452013067524,-0.09537454798693247,高危
湘潭,湘语长益片,0.18,0.06555054241568099,-0.114449457584319,高危
衡阳,湘语衡州片,0.12,0.043700361610454014,-0.07629963838954598,高危
邵阳,湘语娄邵片,0.2,0.07283393601742334,-0.12716606398257668,高危
南昌,赣语昌都片,0.318,0.11580595826770315,-0.20219404173229685,高危
九江,赣语昌都片,0.25,0.09104242002177917,-0.15895757997822083,高危
赣州,赣语赣南片,0.2,0.07283393601742334,-0.12716606398257668,高危
抚州,赣语抚广片,0.22,0.0801173296191657,-0.1398826703808343,高危
梅州,客家话粤台片,0.161,0.05863131849402578,-0.10236868150597422,高危
惠州,客家话粤台片,0.25,0.09104242002177917,-0.15895757997822083,高危
赣州客家,客家话赣南片,0.22,0.0801173296191657,-0.1398826703808343,高危
龙岩,客家话闽西片,0.18,0.06555054241568099,-0.114449457584319,高危
韶关,客家话粤北片,0.2,0.07283393601742334,-0.12716606398257668,高危
广州,粤语广府片,0.52,0.18936823364530073,-0.33063176635469926,高危
佛山,粤语广府片,0.48,0.17480144644181606,-0.3051985535581839,高危
东莞,粤语广府片,0.45,0.16387635603920256,-0.2861236439607975,高危
中山,粤语广府片,0.42,0.152951265636589,-0.267048734363411,高危
珠海,粤语广府片,0.4,0.14566787203484668,-0.25433212796515337,高危
深圳,粤语广府片,0.35,0.12745938803049076,-0.22254061196950922,高危
南宁粤,粤语邕浔片,0.3,0.10925090402613505,-0.19074909597386494,高危
梧州,粤语广府片,0.35,0.12745938803049076,-0.22254061196950922,高危
福州,闽语闽东片,0.05,0.018208484004355836,-0.03179151599564417,高危
厦门,闽语闽南片,0.193,0.0702847482568136,-0.1227152517431864,高危
泉州,闽语闽南片,0.22,0.0801173296191657,-0.1398826703808343,高危
漳州,闽语闽南片,0.25,0.09104242002177917,-0.15895757997822083,高危
莆田,闽语莆仙片,0.18,0.06555054241568099,-0.114449457584319,高危
宁德,闽语闽东片,0.08,0.029133574406969343,-0.05086642559303066,高危
汕头,闽语闽南片,0.15,0.054625452013067524,-0.09537454798693247,高危
潮州,闽语闽南片,0.18,0.06555054241568099,-0.114449457584319,高危
揭阳,闽语闽南片,0.2,0.07283393601742334,-0.12716606398257668,高危
海口,闽语琼文片,0.12,0.043700361610454014,-0.07629963838954598,高危
黄山,徽语绩歙片,0.1,0.03641696800871167,-0.06358303199128834,高危
屯溪,徽语绩歙片,0.08,0.029133574406969343,-0.05086642559303066,高危
绩溪,徽语绩歙片,0.06,0.021850180805227007,-0.03814981919477299,高危
南宁平,平话南宁片,0.15,0.054625452013067524,-0.09537454798693247,高危
柳州,平话柳州片,0.18,0.06555054241568099,-0.114449457584319,高危
桂林,平话桂林片,0.2,0.07283393601742334,-0.12716606398257668,高危
